transaction_id,timestamp,sender_account,receiver_account,sender_upi,receiver_upi,amount,currency,transaction_type,status
T058,2026-09-18T17:46:00.000Z,CUSTOMER-052,MERCHANT-011,customer52@upi,merchant11@upi,8696,INR,UPI,CAPTURED
T059,2026-09-18T17:53:00.000Z,CUSTOMER-053,MERCHANT-012,customer53@upi,merchant12@upi,8833,INR,UPI,CAPTURED
T060,2026-09-18T18:00:00.000Z,CUSTOMER-054,MERCHANT-013,customer54@upi,merchant13@upi,8970,INR,UPI,CAPTURED
T061,2026-09-18T18:07:00.000Z,CUSTOMER-055,MERCHANT-014,customer55@upi,merchant14@upi,9107,INR,UPI,CAPTURED
T062,2026-09-18T18:14:00.000Z,CUSTOMER-056,MERCHANT-015,customer56@upi,merchant15@upi,9244,INR,UPI,CAPTURED
T063,2026-09-18T18:21:00.000Z,CUSTOMER-057,MERCHANT-016,customer57@upi,merchant16@upi,9381,INR,UPI,CAPTURED
T064,2026-09-18T18:28:00.000Z,CUSTOMER-058,MERCHANT-017,customer58@upi,merchant17@upi,9518,INR,UPI,CAPTURED
T065,2026-09-18T18:35:00.000Z,CUSTOMER-059,MERCHANT-018,customer59@upi,merchant18@upi,9655,INR,UPI,CAPTURED
T066,2026-09-18T18:42:00.000Z,CUSTOMER-060,MERCHANT-019,customer60@upi,merchant19@upi,9792,INR,UPI,CAPTURED
T067,2026-09-18T18:49:00.000Z,CUSTOMER-061,MERCHANT-020,customer61@upi,merchant20@upi,9929,INR,UPI,CAPTURED
T068,2026-09-18T18:56:00.000Z,CUSTOMER-062,MERCHANT-021,customer62@upi,merchant21@upi,10066,INR,UPI,CAPTURED
T069,2026-09-18T19:03:00.000Z,CUSTOMER-063,MERCHANT-022,customer63@upi,merchant22@upi,10203,INR,UPI,CAPTURED
T070,2026-09-18T19:10:00.000Z,CUSTOMER-064,MERCHANT-023,customer64@upi,merchant23@upi,10340,INR,UPI,CAPTURED
T071,2026-09-18T19:17:00.000Z,CUSTOMER-065,MERCHANT-024,customer65@upi,merchant24@upi,10477,INR,UPI,CAPTURED
T072,2026-09-18T19:24:00.000Z,CUSTOMER-066,MERCHANT-001,customer66@upi,merchant1@upi,10614,INR,UPI,CAPTURED
T073,2026-09-18T19:31:00.000Z,CUSTOMER-067,MERCHANT-002,customer67@upi,merchant2@upi,10751,INR,UPI,CAPTURED
T074,2026-09-18T19:38:00.000Z,CUSTOMER-068,MERCHANT-003,customer68@upi,merchant3@upi,10888,INR,UPI,CAPTURED
T075,2026-09-18T19:45:00.000Z,CUSTOMER-069,MERCHANT-004,customer69@upi,merchant4@upi,11025,INR,UPI,CAPTURED
T076,2026-09-18T19:52:00.000Z,CUSTOMER-070,MERCHANT-005,customer70@upi,merchant5@upi,11162,INR,UPI,CAPTURED
T077,2026-09-18T19:59:00.000Z,CUSTOMER-071,MERCHANT-006,customer71@upi,merchant6@upi,11299,INR,UPI,CAPTURED
T078,2026-09-18T20:06:00.000Z,CUSTOMER-072,MERCHANT-007,customer72@upi,merchant7@upi,11436,INR,UPI,CAPTURED
T079,2026-09-18T20:13:00.000Z,CUSTOMER-073,MERCHANT-008,customer73@upi,merchant8@upi,11573,INR,UPI,CAPTURED
T080,2026-09-18T20:20:00.000Z,CUSTOMER-074,MERCHANT-009,customer74@upi,merchant9@upi,11710,INR,UPI,CAPTURED
T081,2026-09-18T20:27:00.000Z,CUSTOMER-075,MERCHANT-010,customer75@upi,merchant10@upi,11847,INR,UPI,CAPTURED
T082,2026-09-18T20:34:00.000Z,CUSTOMER-076,MERCHANT-011,customer76@upi,merchant11@upi,11984,INR,UPI,CAPTURED
T083,2026-09-18T20:41:00.000Z,CUSTOMER-077,MERCHANT-012,customer77@upi,merchant12@upi,12121,INR,UPI,CAPTURED
T084,2026-09-18T20:48:00.000Z,CUSTOMER-078,MERCHANT-013,customer78@upi,merchant13@upi,12258,INR,UPI,CAPTURED
T085,2026-09-18T20:55:00.000Z,CUSTOMER-079,MERCHANT-014,customer79@upi,merchant14@upi,12395,INR,UPI,CAPTURED
T086,2026-09-18T21:02:00.000Z,CUSTOMER-080,MERCHANT-015,customer80@upi,merchant15@upi,12532,INR,UPI,CAPTURED
T087,2026-09-18T21:09:00.000Z,CUSTOMER-081,MERCHANT-016,customer81@upi,merchant16@upi,12669,INR,UPI,CAPTURED
T088,2026-09-18T21:16:00.000Z,CUSTOMER-082,MERCHANT-017,customer82@upi,merchant17@upi,12806,INR,UPI,CAPTURED
T089,2026-09-18T21:23:00.000Z,CUSTOMER-083,MERCHANT-018,customer83@upi,merchant18@upi,12943,INR,UPI,CAPTURED
T090,2026-09-18T21:30:00.000Z,CUSTOMER-084,MERCHANT-019,customer84@upi,merchant19@upi,13080,INR,UPI,CAPTURED
T091,2026-09-18T21:37:00.000Z,CUSTOMER-085,MERCHANT-020,customer85@upi,merchant20@upi,13217,INR,UPI,CAPTURED
T092,2026-09-18T21:44:00.000Z,CUSTOMER-086,MERCHANT-021,customer86@upi,merchant21@upi,13354,INR,UPI,CAPTURED
T093,2026-09-18T21:51:00.000Z,CUSTOMER-087,MERCHANT-022,customer87@upi,merchant22@upi,13491,INR,UPI,CAPTURED
T094,2026-09-18T21:58:00.000Z,CUSTOMER-088,MERCHANT-023,customer88@upi,merchant23@upi,13628,INR,UPI,CAPTURED
T095,2026-09-18T22:05:00.000Z,CUSTOMER-089,MERCHANT-024,customer89@upi,merchant24@upi,13765,INR,UPI,CAPTURED
T096,2026-09-18T22:12:00.000Z,CUSTOMER-090,MERCHANT-001,customer90@upi,merchant1@upi,13902,INR,UPI,CAPTURED
T097,2026-09-18T22:19:00.000Z,CUSTOMER-091,MERCHANT-002,customer91@upi,merchant2@upi,14039,INR,UPI,CAPTURED
T098,2026-09-18T22:26:00.000Z,CUSTOMER-092,MERCHANT-003,customer92@upi,merchant3@upi,14176,INR,UPI,CAPTURED
T099,2026-09-18T22:33:00.000Z,CUSTOMER-093,MERCHANT-004,customer93@upi,merchant4@upi,14313,INR,UPI,CAPTURED
T100,2026-09-18T22:40:00.000Z,CUSTOMER-094,MERCHANT-005,customer94@upi,merchant5@upi,14450,INR,UPI,CAPTURED
